vehicle_id;euro;model;model_extended;brand;configuration;cabin;length;width;height;power;mega;mileage;wheelbase;gearbox;registered_at;retarder;stock_at;entry_at;internet_price;is_new;production_at;cabin;brand;configuration;gearbox;has_t1;total_weight;net_weight;fuel;has_crane;crane_brand;crane_ton;crane_location;has_crane_hook;bed_amount;tank_amount;has_hydraulics;is_damaged;axle_reduction;driver_side;suspension;retarder_type;has_airco
347960;6;R;R580;SCANIA;6X2;LONGLINE;725;255;400;580;0;957993;350;AUTOMAAT;3/12/2014;true;3/12/2025;1/12/2025;36900;false;14/10/2014;LONGLINE;SCANIA;6X2;AUTOMAAT;0;27500;9775;diesel;false;;;;false;;1;false;false;single;L;;Retarder;
345624;6;TGX;TGX 18.500;MAN;6X2;XXL;620;254;390;500;1;649374;360;AUTOMAAT;30/08/2019;true;21/11/2025;14/11/2025;22400;false;19/08/2019;XXL;MAN;6X2;AUTOMAAT;0;19000;0;diesel;false;;;;false;;2;false;false;single;L;;Retarder;
345623;6;TGX;TGX 18.500;MAN;6X2;XXL;612;255;380;500;1;649341;360;AUTOMAAT;19/08/2019;true;18/11/2025;14/11/2025;22400;false;5/08/2019;XXL;MAN;6X2;AUTOMAAT;0;23500;0;diesel;false;;;;false;;2;false;false;single;L;;Retarder;
341105;2;TGS;TGS 33.440;MAN;6X4;TN;730;255;325;440;0;22;360;HANDGESCHAKELD;1/01/9999;false;20/11/2025;13/10/2025;88900;true;30/09/2025;TN;MAN;6X4;HANDGESCHAKELD;0;33000;0;diesel;false;;;;false;;1;false;false;hub;L;;;true
341106;2;TGS;TGS 33.440;MAN;6X4;TN;730;255;325;440;0;20;360;HANDGESCHAKELD;1/01/9999;false;20/11/2025;15/10/2025;88900;true;30/09/2025;TN;MAN;6X4;HANDGESCHAKELD;0;33000;0;diesel;false;;;;false;;1;false;false;hub;L;;;true
341107;2;TGS;TGS 33.440;MAN;6X4;TN;730;255;325;440;0;15;360;HANDGESCHAKELD;1/01/9999;false;20/11/2025;13/10/2025;88900;true;30/09/2025;TN;MAN;6X4;HANDGESCHAKELD;0;33000;0;diesel;false;;;;false;;1;false;false;hub;L;;;true
339210;6;F-MAX;F-MAX 500;FORD;4X2;MEGA CAB;590;255;400;500;0;351867;357;AUTOMAAT;1/06/2022;true;4/11/2025;17/10/2025;31400;false;;MEGA CAB;FORD;4X2;AUTOMAAT;0;18000;8547;diesel;false;;;;false;;2;false;false;single;L;;Retarder;
344095;6;FH;FH 460;VOLVO;4X2;HIGH SLEEPER CAB;600;255;390;460;0;521518;380;AUTOMAAT;12/04/2021;false;13/11/2025;1/11/2025;44900;false;24/03/2021;HIGH SLEEPER CAB;VOLVO;4X2;AUTOMAAT;0;20500;0;diesel;false;;;;false;;1;false;false;single;L;;;
336617;6;XF;XF 450;DAF;4X2;SPACE CAB;595;255;270;450;0;343979;380;AUTOMAAT;19/08/2021;true;23/09/2025;25/08/2025;31900;false;15/07/2021;SPACE CAB;DAF;4X2;AUTOMAAT;0;20500;0;diesel;false;;;;false;;1;true;false;;L;;Retarder;
343365;6;TGX;TGX 18.460;MAN;4X2;XXL;605;255;403;460;1;635209;360;AUTOMAAT;13/02/2018;true;3/12/2025;21/11/2025;15400;false;23/01/2018;XXL;MAN;4X2;AUTOMAAT;0;18600;7969;diesel;false;;;;false;;2;false;false;single;L;;Retarder;
343257;6;ACTROS;ACTROS 1842;MERCEDES;4X2;GIGASPACE;625;255;390;420;1;348711;370;AUTOMAAT;13/01/2022;true;4/11/2025;27/10/2025;48900;false;13/01/2022;GIGASPACE;MERCEDES;4X2;AUTOMAAT;0;18000;7902;diesel;false;;;;false;;2;false;false;single;L;;Retarder;
346737;6;TGS;TGS 18.400;MAN;4X2;L;595;255;395;400;0;990621;360;AUTOMAAT;2/12/2013;false;20/11/2025;17/11/2025;8400;false;6/11/2013;L;MAN;4X2;AUTOMAAT;0;19000;7219;diesel;false;;;;false;;1;false;false;single;L;;;
318641;6;S;S460;SCANIA;4X2;CS20 HIGHLINE;615;255;410;460;0;262176;380;AUTOMAAT;4/03/2023;true;27/03/2025;17/03/2025;68900;false;30/01/2023;CS20 HIGHLINE;SCANIA;4X2;AUTOMAAT;0;19000;8711;diesel;false;;;;false;;2;false;false;;L;;Retarder;
322047;5;TGX;TGX 18.480;MAN;4X2;GM;620;250;393;480;0;22;390;HANDGESCHAKELD;1/01/9999;false;4/04/2025;31/03/2025;68900;true;28/03/2025;GM;MAN;4X2;HANDGESCHAKELD;0;20100;0;diesel;false;;;;false;;2;false;false;single;L;;;true
336979;6;S;S500;SCANIA;6X2;CS20 HIGHLINE;650;255;400;500;0;54;412;AUTOMAAT;1/01/2025;true;8/12/2025;2/12/2025;133900;true;;CS20 HIGHLINE;SCANIA;6X2;AUTOMAAT;0;26500;;diesel;false;;;;false;;2;false;false;single;L;;Retarder;
342704;6;T;T 520;RENAULT;4X2;HIGH SLEEPER CAB;600;255;394;520;0;320954;380;AUTOMAAT;8/09/2022;true;24/10/2025;21/10/2025;60400;false;18/08/2022;HIGH SLEEPER CAB;RENAULT;4X2;AUTOMAAT;0;21000;8495;diesel;false;;;;false;;2;false;false;single;L;;Retarder;
336024;6;TGS;TGS 18.510;MAN;4X4;L;630;276;352;510;0;68829;400;AUTOMAAT;18/03/2020;true;20/08/2025;18/08/2025;97900;false;20/12/2019;L;MAN;4X4;AUTOMAAT;0;20600;0;diesel;false;;;;false;;1;true;false;hub;L;;Retarder;
318636;6;S;S460;SCANIA;4X2;CS20 HIGHLINE;630;260;415;460;0;268354;375;AUTOMAAT;25/02/2023;true;20/03/2025;17/03/2025;68900;false;27/01/2023;CS20 HIGHLINE;SCANIA;4X2;AUTOMAAT;0;19000;8711;diesel;false;;;;false;;2;false;false;single;L;;Retarder;
344392;6;S-WAY;S-WAY 460;IVECO;4X2;ACTIVE SPACE;615;255;400;460;1;531259;361;AUTOMAAT;4/05/2020;true;24/11/2025;14/11/2025;27900;false;;ACTIVE SPACE;IVECO;4X2;AUTOMAAT;0;19000;;diesel;false;;;;false;;2;false;false;single;L;;Retarder;
341041;6;XF;XF 480;DAF;4X2;SUPER SPACE CAB;620;255;400;480;0;372653;380;AUTOMAAT;12/01/2022;false;5/11/2025;24/10/2025;34900;false;16/09/2021;SUPER SPACE CAB;DAF;4X2;AUTOMAAT;0;18000;0;diesel;false;;;;false;;2;false;false;single;L;;;
333090;6;;ACTROS L 1848;MERCEDES;4X2;BIGSPACE;625;255;400;480;0;196062;370;AUTOMAAT;10/11/2023;true;24/07/2025;22/07/2025;68900;false;31/10/2023;BIGSPACE;MERCEDES;4X2;AUTOMAAT;0;18000;8005;diesel;false;;;;false;;1;false;false;single;L;;Retarder;
337097;6;ACTROS;ACTROS 1848;MERCEDES;4X2;PROCABIN-BIG;630;255;400;480;0;69;370;AUTOMAAT;1/01/9999;true;9/12/2025;6/12/2025;112900;true;5/11/2025;PROCABIN-BIG;MERCEDES;4X2;AUTOMAAT;0;18000;0;diesel;false;;;;false;;2;false;false;single;L;;Retarder;
